"reserve","rate_longterm","CI_low_longterm","CI_high_longterm","rate_19yr","CI_low_19yr","CI_high_19yr","rate_shortterm","CI_low_shortterm","CI_high_shortterm","dates_longterm","dates_19yr","dates_shortterm"
"APA","2.23353705060418","1.59571376238878","2.87136033881957","5.22301824765074","2.6519424428378","7.79409405246369","9.49508518542379","-1.15279225761732","20.1429626284649","1967-2017","1998-2017","2012-2017"
"CBM","3.82555859630513","3.58701129293701","4.06410589967325","7.14597990601398","5.47369217272515","8.81826763930281","1.78844359334695","-2.61078464075823","6.18767182745213","1937-2018","1999-2018","2010-2018"
"CBV","4.65827879148836","4.43602346312587","4.88053411985085","7.18575016049135","5.18585477160573","9.18564554937698","7.64569054337488","3.23286009352942","12.0585209932203","1927-2018","1999-2018","2007-2018"
"DEL","3.43872773889471","3.20200468610576","3.67545079168366","4.68760391059218","2.66422766545738","6.71098015572699","4.56336730579148","1.30214723186577","7.8245873797172","1919-2017","1998-2017","2004-2017"
"ELK","1.57300760967602","0.746588535487","2.39942668386504","5.18660919474725","3.31124263227987","7.06197575721462","7.56678278980763","3.83231824435019","11.3012473352651","1973-2018","1999-2018","2006-2018"
"GND","3.62100454703079","3.02536727084403","4.21664182321756","7.37311581414319","4.19639039927557","10.5498412290108","12.2497086223595","1.59161390242619","22.9078033422927","1966-2017","1998-2017","2012-2017"
"GRB","2.81844428853372","2.6597977781528","2.97709079891463","4.91653236632324","3.02483243565151","6.80823229699497","5.89126252793272","4.06520804105354","7.7173170148119","1921-2017","1998-2017","1999-2017"
"GTM","2.6162349341748","2.36061713046791","2.8718527378817","4.66245138430074","2.19160630669693","7.13329646190456","3.38018210052634","-5.77834998215835","12.538714183211","1928-2018","1999-2018","2012-2018"
"MAR","5.62786046126727","5.14599081283319","6.10973010970135","8.56842095508426","6.08490173658901","11.0519401735795","24.1684896533836","11.4934973416909","36.8434819650763","1937-2018","1999-2018","2013-2018"
"NAR","2.76934237110537","2.6092958261563","2.92938891605445","4.80791304736941","3.31876580142494","6.29706029331387","4.64107348530466","-1.81826590991823","11.1004128805276","1930-2018","1999-2018","2012-2018"
"PDB","1.18862251014543","0.9134324821749","1.46381253811596","3.30753432483175","0.904968036260122","5.71010061340338","4.69507503579866","1.73503946179141","7.6551106098059","1934-2017","1998-2017","2002-2017"
"SOS","1.11801538758201","0.346691823980761","1.88933895118326","2.30521435093292","-0.401529347709931","5.01195804957578","14.0416188198617","1.30352781597429","26.779709823749","1970-2017","1998-2017","2011-2017"
"WEL","1.87842672288832","1.73277753189526","2.02407591388138","4.53884896901841","2.54688935673218","6.53080858130463","-3.4732295500109","-9.08537624439582","2.13891714437403","1912-2018","1999-2018","2011-2018"
"WKB","3.62100454703079","3.02536727084403","4.21664182321756","7.37311581414319","4.19639039927557","10.5498412290108","22.9188366287163","-8.16426773410879","54.0019409915414","1966-2017","1998-2017","2015-2017"
"WQB","2.85813012729872","2.68167678149095","3.03458347310648","4.3245354194123","2.76355332631229","5.88551751251231","9.23005629194828","0.0868152664974801","18.3732973173991","1932-2017","1998-2017","2013-2017"
