"Reserve","LT change","LT CI_low","LT CI_high","Mid_19yr change","Mid_19yr CI_low","Mid_19yr CI_high","ST change","ST CI_low","ST CI_high","LT dates","Mid_19yr dates","ST dates","nearest_nwlon_station","distance_to_nwlon_station","nwlon_station_number","slr_rate_mm_yr","x95_percent_ci","data_start","data_end","set_start","link"
"APA","2.23353705060418","1.59571376238878","2.87136033881957","5.22301824765074","2.6519424428378","7.79409405246369","9.49508518542379","-1.15279225761732","20.1429626284649","1967-2017","1998-2017","2012-2017","Apalachicola, Florida",NA,8728690,2.23,0.64,1967,2017,2012,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8728690#tab50yr"
"CBM","3.82555859630513","3.58701129293701","4.06410589967325","7.14597990601398","5.47369217272515","8.81826763930281","1.78844359334695","-2.61078464075823","6.18767182745213","1937-2018","1999-2018","2010-2018","Solomons Island, MD","60km from MB....55km downriver from JB, nothing closer with sufficient data",8577330,3.82,0.24,1937,2018,2010,"https://tidesandcurrents.noaa.gov/stationhome.html?id=8577330"
"CBV","4.65827879148836","4.43602346312587","4.88053411985085","7.18575016049135","5.18585477160573","9.18564554937698","7.64569054337488","3.23286009352942","12.0585209932203","1927-2018","1999-2018","2007-2018","Sewell's Point, Norfolk, VA","30km to Goodwin, 42 kim to Catlett Islands",8638610,4.66,0.22,1927,2018,2007,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8638610"
"DEL","3.43872773889471","3.20200468610576","3.67545079168366","4.68760391059218","2.66422766545738","6.71098015572699","4.56336730579148","1.30214723186577","7.8245873797172","1919-2017","1998-2017","2004-2017","Lewes, Delaware",NA,8557380,3.44,0.24,1919,2017,2004,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8557380"
"ELK","1.57300760967602","0.746588535487","2.39942668386504","5.18660919474725","3.31124263227987","7.06197575721462","7.56678278980763","3.83231824435019","11.3012473352651","1973-2018","1999-2018","2006-2018","Monterey, California",NA,9413450,1.57,0.82,1973,2018,2006,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?stnid=9413450"
"GND","3.62100454703079","3.02536727084403","4.21664182321756","7.37311581414319","4.19639039927557","10.5498412290108","12.2497086223595","1.59161390242619","22.9078033422927","1966-2017","1998-2017","2012-2017","Dauphin Island, Alabama",NA,8735180,3.61,0.59,1966,2017,2012,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180"
"GRB","2.81844428853372","2.6597977781528","2.97709079891463","4.91653236632324","3.02483243565151","6.80823229699497","5.89126252793272","4.06520804105354","7.7173170148119","1921-2017","1998-2017","1999-2017","Boston, Massachusetts","77km (nothing closer with a recent record)",8443970,2.82,0.16,1921,2017,1999,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8443970"
"GTM","2.6162349341748","2.36061713046791","2.8718527378817","4.66245138430074","2.19160630669693","7.13329646190456","3.38018210052634","-5.77834998215835","12.538714183211","1928-2018","1999-2018","2012-2018","Mayport, Jacksonville, FL","27.2-92km depending on station",8720218,2.62,0.25,1928,2018,2012,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8720218"
"MAR","5.62786046126727","5.14599081283319","6.10973010970135","8.56842095508426","6.08490173658901","11.0519401735795","24.1684896533836","11.4934973416909","36.8434819650763","1937-2018","1999-2018","2013-2018","Rockport, TX","14-30 km (depending on site)",8774770,5.62,0.48,1937,2018,2013,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8774770"
"NAR","2.76934237110537","2.6092958261563","2.92938891605445","4.80791304736941","3.31876580142494","6.29706029331387","4.64107348530466","-1.81826590991823","11.1004128805276","1930-2018","1999-2018","2012-2018","Newport, Rhode Island","15 km",8452660,2.77,0.16,1930,2018,2012,"https://tidesandcurrents.noaa.gov/stationhome.html?id=8452660"
"PDB","1.18862251014543","0.9134324821749","1.46381253811596","3.30753432483175","0.904968036260122","5.71010061340338","4.69507503579866","1.73503946179141","7.6551106098059","1934-2017","1998-2017","2002-2017","Friday Harbor, Washington","35km",9449880,1.19,0.27,1934,2017,2002,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=9449880"
"SOS","1.11801538758201","0.346691823980761","1.88933895118326","2.30521435093292","-0.401529347709931","5.01195804957578","14.0416188198617","1.30352781597429","26.779709823749","1970-2017","1998-2017","2011-2017","Charleston, Oregon","1-8km (depending on site)",9432780,1.12,0.77,1970,2017,2011,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=9432780"
"WEL","1.87842672288832","1.73277753189526","2.02407591388138","4.53884896901841","2.54688935673218","6.53080858130463","-3.4732295500109","-9.08537624439582","2.13891714437403","1912-2018","1999-2018","2011-2018","Portland, Maine","42-45km",8418150,1.88,0.14,1912,2018,2011,"https://tidesandcurrents.noaa.gov/stationhome.html?id=8418150"
"WKB","3.62100454703079","3.02536727084403","4.21664182321756","7.37311581414319","4.19639039927557","10.5498412290108","22.9188366287163","-8.16426773410879","54.0019409915414","1966-2017","1998-2017","2015-2017","Dauphin Island, Alabama","31km (Weeks Bay station no SLR trends)",8735180,3.61,0.59,1966,2017,2015,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180"
"WQB","2.85813012729872","2.68167678149095","3.03458347310648","4.3245354194123","2.76355332631229","5.88551751251231","9.23005629194828","0.0868152664974801","18.3732973173991","1932-2017","1998-2017","2013-2017","Woods Hole, Massachusetts","14 km",8447930,2.86,0.17,1932,2017,2013,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8447930"
